Name,Event,Description,Current Type,Current Nurturing,Date
Susan Mchargue,Apply to Join Meeting,,,Not an opportunity,11/01/2021 12:18
Lois Philbrick,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-11T12:23:26.000Z,Paying Member,,11/01/2021 12:23
William Battaglia,Lead Pipeline Update,Status: Qualified - Nurturing: Awaiting Engagement;2021-01-11T12:23:59.000Z,Lead,Opportunity,11/01/2021 12:24
David Aitken,Lead Pipeline Update,Status: Qualified - Nurturing: Customer Engaged;2021-01-11T12:27:11.000Z,Paying Member,,11/01/2021 12:27
Nancy Quarles,Lead Pipeline Update,Status: Qualified - Nurturing: Customer Engaged;2021-01-11T12:31:26.000Z,Paying Member,Attended Meeting,11/01/2021 12:31
William Battaglia,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T12:42:06.000Z,Lead,Opportunity,11/01/2021 12:42
Evon Mildon,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-11T12:50:27.000Z,Paying Member,Opportunity,11/01/2021 12:50
Clara Maedche,Lead Pipeline Update,Status: Qualified - Nurturing: Awaiting Engagement;2021-01-11T12:51:14.000Z,Contributing  Member,Not an opportunity,11/01/2021 12:51
Clara Maedche,Lead Pipeline Update,Status: Disqualified - Nurturing: Awaiting Engagement;2021-01-11T12:51:37.000Z,Contributing  Member,Not an opportunity,11/01/2021 12:51
Ricardo Perkins,Lead Created,;2021-01-11T13:23:10.000Z,Lead,Initial Engagement,11/01/2021 13:23
Ricardo Perkins,Platform Account Created,,Lead,Initial Engagement,11/01/2021 13:23
Ricardo Perkins,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2021-01-11T13:23:16.000Z,Lead,Initial Engagement,11/01/2021 13:23
Clara Maedche,Lead Pipeline Update,Status: Disqualified - Nurturing: Initial Engagement;2021-01-11T13:27:00.000Z,Contributing  Member,Not an opportunity,11/01/2021 13:27
Evon Mildon,Lead Pipeline Update,Status: Disqualified - Nurturing: Initial Engagement;2021-01-11T13:27:23.000Z,Paying Member,Opportunity,11/01/2021 13:27
Ricardo Perkins,Apply to Join Meeting,,Lead,Initial Engagement,11/01/2021 13:29
Evon Mildon,Apply to Join Meeting,,Paying Member,Opportunity,11/01/2021 13:29
Evon Mildon,Apply to Join Meeting,,Paying Member,Opportunity,11/01/2021 13:31
Amanda Nelson,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T13:42:41.000Z,Lead,Not an opportunity,11/01/2021 13:42
Patricia Current,Lead Pipeline Update,Status: Disqualified - Nurturing: Initial Engagement;2021-01-11T13:52:27.000Z,Not a lead,Not an opportunity,11/01/2021 13:52
Rosalee Woodward,Lead Pipeline Update,Status: Disqualified - Nurturing: Awaiting Engagement;2021-01-11T13:54:51.000Z,Not a lead,Not an opportunity,11/01/2021 13:54
Rosalee Woodward,Lead Pipeline Update,Status: Disqualified - Nurturing: Initial Engagement;2021-01-11T13:56:21.000Z,Not a lead,Not an opportunity,11/01/2021 13:56
Dean Jones,Lead Created,;2021-01-11T13:57:49.000Z,Lead,Initial Engagement,11/01/2021 13:57
Dean Jones,Platform Account Created,,Lead,Initial Engagement,11/01/2021 13:57
Dean Jones,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2021-01-11T13:57:54.000Z,Lead,Initial Engagement,11/01/2021 13:58
Iris Doyle,Lead Pipeline Update,Status:  - Nurturing: Initial Engagement;2021-01-11T14:24:17.000Z,Lead,Confirmed Meeting Attendee,11/01/2021 14:24
Iris Doyle,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T14:24:45.000Z,Lead,Confirmed Meeting Attendee,11/01/2021 14:24
Zena Grullon,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-11T14:59:24.000Z,Team,,11/01/2021 14:59
Zena Grullon,Lead Pipeline Update,Status: Qualified - Nurturing: Customer Engaged;2021-01-11T14:59:40.000Z,Team,,11/01/2021 14:59
Christopher Bartley,Call,,Lead,Not an opportunity,11/01/2021 15:02
Christopher Bartley,Call,,Lead,Not an opportunity,11/01/2021 15:03
Christopher Bartley,Call,,Lead,Not an opportunity,11/01/2021 15:03
Christopher Bartley,Call,,Lead,Not an opportunity,11/01/2021 15:03
Zena Grullon,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-11T15:17:47.000Z,Team,,11/01/2021 15:18
Zena Grullon,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-11T15:17:55.000Z,Team,,11/01/2021 15:18
Terry Jones,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-11T15:37:03.000Z,Team,,11/01/2021 15:37
Colette Ball,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T15:41:48.000Z,Lead,Initial Engagement,11/01/2021 15:41
Lana Gonzales,Lead Pipeline Update,Status: Disqualified - Nurturing: Initial Engagement;2021-01-11T15:54:55.000Z,Not a lead,Not an opportunity,11/01/2021 15:54
Randy Cornish,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T16:00:32.000Z,Lead,Not an opportunity,11/01/2021 16:00
Shirley Coots,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T16:11:47.000Z,Lead,Engaged,11/01/2021 16:11
Donna Wallace,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T16:19:09.000Z,Not a lead,Not an opportunity,11/01/2021 16:19
Evelyn Best,Lead Pipeline Update,Status: Disqualified - Nurturing: Engaged;2021-01-11T17:22:28.000Z,Lead,Engaged,11/01/2021 17:22
David Weller,Lead Pipeline Update,Status:  - Nurturing: ;2021-01-11T17:29:09.000Z,,,11/01/2021 17:29
Gregg Mcmullen,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-11T17:39:43.000Z,Lead,,11/01/2021 17:39
Jesse Drennon,Lead Pipeline Update,Status:  - Nurturing: ;2021-01-11T17:39:59.000Z,Not a lead,Not an opportunity,11/01/2021 17:40
Jesse Drennon,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-11T17:40:09.000Z,Not a lead,Not an opportunity,11/01/2021 17:40
Melody Stout,Lead Pipeline Update,Status: Customer  - Nurturing: Customer Engaged;2021-01-11T17:46:37.000Z,Paying Member,Attended Meeting,11/01/2021 17:46
Jeff Hall,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-11T17:53:35.000Z,Paying Member,,11/01/2021 17:53
Jeff Hall,Lead Pipeline Update,Status: Customer  - Nurturing: Customer Engaged;2021-01-11T17:53:42.000Z,Paying Member,,11/01/2021 17:53
Jason Haynes,Lead Pipeline Update,Status: Qualified - Nurturing: Awaiting Engagement;2021-01-11T18:07:17.000Z,Lead,Opportunity,11/01/2021 18:07
Jason Haynes,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T18:07:28.000Z,Lead,Opportunity,11/01/2021 18:07
Charles West,Deal Closed,,Lead,Confirmed Meeting Attendee,11/01/2021 18:09
Harvey Kawachi,Deal Closed,,Lead,Attended Meeting,11/01/2021 18:10
David Ramos,Deal Closed,,Lead,Initial Engagement,11/01/2021 18:10
Glenn Bryant,Deal Closed,,Paying Member,,11/01/2021 18:10
Ronald Shell,Deal Closed,,Paying Member,Opportunity,11/01/2021 18:10
Mary Carlson,Lead Pipeline Update,Status: Qualified - Nurturing: Awaiting Engagement;2021-01-11T18:16:43.000Z,Lead,Initial Engagement,11/01/2021 18:16
Mary Carlson,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T18:17:04.000Z,Lead,Initial Engagement,11/01/2021 18:17
Vincent Gray,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-11T18:19:12.000Z,Paying Member,,11/01/2021 18:19
Vincent Gray,Lead Pipeline Update,Status: Customer  - Nurturing: Customer Engaged;2021-01-11T18:19:17.000Z,Paying Member,,11/01/2021 18:19
Michael Mctiernan,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T18:24:50.000Z,Lead,Confirmed Meeting Attendee,11/01/2021 18:24
Garrett Busbee,Lead Pipeline Update,Status: Qualified - Nurturing: Awaiting Engagement;2021-01-11T18:26:21.000Z,Lead,Initial Engagement,11/01/2021 18:26
Jerry Shannon,Lead Created,;2021-01-11T18:48:54.000Z,Not a lead,Not an opportunity,11/01/2021 18:48
Jerry Shannon,Platform Account Created,,Not a lead,Not an opportunity,11/01/2021 18:48
Jerry Shannon,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2021-01-11T18:48:56.000Z,Not a lead,Not an opportunity,11/01/2021 18:49
Jerry Shannon,Apply to Join Meeting,,Not a lead,Not an opportunity,11/01/2021 18:54
Barbara Robson,Call,,Not a lead,Not an opportunity,11/01/2021 19:35
Christopher Bartley,Call,,Lead,Not an opportunity,11/01/2021 19:36
Essie Yates,Call,,Lead,Opportunity,11/01/2021 19:38
Christopher Bartley,Call,,Lead,Not an opportunity,11/01/2021 19:38
Christopher Bartley,Call,,Lead,Not an opportunity,11/01/2021 19:39
Essie Yates,Call,,Lead,Opportunity,11/01/2021 19:39
Christopher Bartley,Call,,Lead,Not an opportunity,11/01/2021 19:39
Jesse Frederick,Lead Created,;2021-01-11T21:14:20.000Z,Lead,Initial Engagement,11/01/2021 21:14
Jesse Frederick,Platform Account Created,,Lead,Initial Engagement,11/01/2021 21:14
Jesse Frederick,Lead Pipeline Update,Status:  - Nurturing: Awaiting Engagement;2021-01-11T21:14:23.000Z,Lead,Initial Engagement,11/01/2021 21:14
Dennis Rodriguez,Lead Pipeline Update,Status:  - Nurturing: Initial Engagement;2021-01-11T21:15:32.000Z,Lead,Post Meeting Follow-up Completed,11/01/2021 21:15
Dennis Rodriguez,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-11T21:15:39.000Z,Lead,Post Meeting Follow-up Completed,11/01/2021 21:15
Jesse Frederick,Apply to Join Meeting,,Lead,Initial Engagement,11/01/2021 21:21
John King,Apply to Join Meeting,,Lead,Initial Engagement,12/01/2021 09:04
Joshua Tennant,Lead Pipeline Update,Status: Disqualified - Nurturing: Awaiting Engagement;2021-01-12T09:11:16.000Z,Not a lead,Not an opportunity,12/01/2021 09:11
Joshua Tennant,Lead Pipeline Update,Status: Disqualified - Nurturing: Initial Engagement;2021-01-12T09:11:24.000Z,Not a lead,Not an opportunity,12/01/2021 09:11
Eddie Young,Lead Pipeline Update,Status: Qualified - Nurturing: Engaged;2021-01-12T09:33:40.000Z,Paying Member,Attended Meeting,12/01/2021 09:33
Theresa Benson,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2021-01-12T09:33:52.000Z,Paying Member,Opportunity,12/01/2021 09:34
Harry Warfield,Lead Created,;2021-01-12T09:39:00.000Z,,Attended Meeting,12/01/2021 09:39
Michael Hernandez,Call,,Lead,Opportunity,12/01/2021 09:46
Latasha Lapointe,Call,,Lead,Confirmed Meeting Attendee,12/01/2021 10:18
Garrett Busbee,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-12T10:27:31.000Z,Lead,Initial Engagement,12/01/2021 10:27
Beverly Rose,Lead Pipeline Update,Status: Qualified - Nurturing: Awaiting Engagement;2021-01-12T10:33:38.000Z,Lead,Not an opportunity,12/01/2021 10:33
Elizebeth James,Lead Created,;2021-01-12T10:35:40.000Z,Lead,Initial Engagement,12/01/2021 10:35
Elizebeth James,Platform Account Created,,Lead,Initial Engagement,12/01/2021 10:35
Beverly Rose,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-12T10:39:40.000Z,Lead,Not an opportunity,12/01/2021 10:39
Elizebeth James,Apply to Join Meeting,,Lead,Initial Engagement,12/01/2021 10:41
Ricardo Perkins,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-12T10:53:42.000Z,Lead,Initial Engagement,12/01/2021 10:53
Pamela Hughes,Deal Closed,,Paying Member,Opportunity,12/01/2021 11:02
John King,Apply to Join Meeting,,Lead,Initial Engagement,12/01/2021 11:03
Lucy Renner,Email,,Paying Member,Opportunity,12/01/2021 12:41
Lucy Renner,Email,,Paying Member,Opportunity,12/01/2021 12:52
Evon Mildon,Call,,Paying Member,Opportunity,12/01/2021 13:02
Lawrence Kennedy,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T13:55:33.000Z,Lead,Confirmed Meeting Attendee,12/01/2021 13:55
Danielle Burns,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T13:55:56.000Z,,Not an opportunity,12/01/2021 13:56
Marisa Wilson,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T13:55:51.000Z,,Not an opportunity,12/01/2021 13:56
Ellamae Vaughn,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T13:56:00.000Z,,Not an opportunity,12/01/2021 13:56
Saundra Bosio,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T13:56:05.000Z,,Not an opportunity,12/01/2021 13:56
Martha Lester,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T13:56:12.000Z,Lead,,12/01/2021 13:56
Laura Obanion,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T13:56:18.000Z,,Not an opportunity,12/01/2021 13:56
Amelia Napier,Lead Pipeline Update,Status:  - Nurturing: Initial Engagement;2021-01-12T13:56:30.000Z,,Not an opportunity,12/01/2021 13:56
John Boney,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T13:56:46.000Z,,,12/01/2021 13:56
Linda Hankerson,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T13:57:26.000Z,Lead,,12/01/2021 13:57
Evon Mildon,Lead Pipeline Update,Status: Qualified - Nurturing: Initial Engagement;2021-01-12T13:57:21.000Z,Paying Member,Opportunity,12/01/2021 13:57
Buford Randolph,Lead Pipeline Update,Status:  - Nurturing: Initial Engagement;2021-01-12T13:57:31.000Z,Lead,Initial Engagement,12/01/2021 13:57
James Shaw,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T13:57:45.000Z,,Not an opportunity,12/01/2021 13:57
Robert Pelletier,Platform Account Created,,Lead,Initial Engagement,12/01/2021 14:15
Robert Pelletier,Apply to Join Meeting,,Lead,Initial Engagement,12/01/2021 14:21
Evon Mildon,Call,,Paying Member,Opportunity,12/01/2021 14:25
Norris Hoefer,Lead Created,;2021-01-12T14:27:21.000Z,,,12/01/2021 14:27
Norris Hoefer,Platform Account Created,,,,12/01/2021 14:27
Wilbert Hogue,Call,,Paying Member,,12/01/2021 14:46
Ira Kannenberg,Call,,Lead,Opportunity,12/01/2021 15:46
Kurt Mcglade,Lead Created,;2021-01-12T16:07:01.000Z,,Attended Meeting,12/01/2021 16:07
Letha Bailey,Deal Closed,,Paying Member,,12/01/2021 16:08
Amanda Gabbert,Lead Created,;2021-01-12T16:12:48.000Z,Paying Member,Opportunity,12/01/2021 16:12
Amanda Gabbert,Platform Account Created,,Paying Member,Opportunity,12/01/2021 16:12
Pamela Hughes,Deal Closed,,Paying Member,Opportunity,12/01/2021 16:18
Amanda Gabbert,Apply to Join Meeting,,Paying Member,Opportunity,12/01/2021 16:19
Florence Adderley,Deal Closed,,Former Paying Member,,12/01/2021 16:29
Tina Schuttler,Deal Closed,,Former Paying Member,Attended Meeting,12/01/2021 16:31
Daniel Romero,Lead Created,;2021-01-12T16:34:43.000Z,Lead,,12/01/2021 16:34
Daniel Romero,Platform Account Created,,Lead,,12/01/2021 16:34
Daniel Romero,Apply to Join Meeting,,Lead,,12/01/2021 16:41
Elizabeth Winslow,Deal Closed,,Lead,Opportunity,12/01/2021 17:01
Anthony Alford,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Not an opportunity,12/01/2021 17:02
Karen Zatorski,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,,12/01/2021 17:02
Steven Whitaker,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Not a lead,Not an opportunity,12/01/2021 17:02
Nicholas Valentine,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Trial Member,Engaged,12/01/2021 17:02
Mary Phillips,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Not an opportunity,12/01/2021 17:02
Betty Prather,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:02
Homer Nichols,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Engaged,12/01/2021 17:02
James Palmese,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:02
Jeff Alvarado,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,,12/01/2021 17:03
William Lam,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
David Pugh,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Christin Johnson,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,Opportunity,12/01/2021 17:03
Ruth Lester,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Helen Wilkowitz,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Bobbie Strickland,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Ronald Shell,Lead Pipeline Update,Status:  - Nurturing: Opportunity;2021-01-12T17:02:50.000Z,Paying Member,Opportunity,12/01/2021 17:03
Vickie Domingues,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Roger Payne,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Contributing  Member,Engaged,12/01/2021 17:03
Kevin Snyder,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Michael Hernandez,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2021-01-12T17:02:50.000Z,Lead,Opportunity,12/01/2021 17:03
Susan Sailor,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Melanie Gillen,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Lisa Harrison,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
David Similien,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Patricia Cuellar,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Rufus Neal,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,,12/01/2021 17:03
Jeannie Roy,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-12T17:02:50.000Z,,,12/01/2021 17:03
Bryan Barth,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Contributing  Member,Attended Meeting,12/01/2021 17:03
Christopher Johnston,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Confirmed Meeting Attendee,12/01/2021 17:03
Patricia Kelley,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Confirmed Meeting Attendee,12/01/2021 17:03
Christina Yarberry,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Attended Meeting,12/01/2021 17:03
Clint Smith,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Mary Finwall,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2021-01-12T17:02:50.000Z,Lead,Opportunity,12/01/2021 17:03
Bernard Lewis,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Team,Attended Meeting,12/01/2021 17:03
Verna Cooper,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Confirmed Meeting Attendee,12/01/2021 17:03
Mitch Royal,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Initial Engagement,12/01/2021 17:03
Mary Wheeler,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Opportunity,12/01/2021 17:03
Lynda Weller,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Jeff Hall,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,,12/01/2021 17:03
Carolyn Nakagawa,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Not an opportunity,12/01/2021 17:03
Wayne Petersen,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Valarie Mcnair,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Richard Lawson,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Team,,12/01/2021 17:03
Paul Crittenden,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-12T17:02:50.000Z,Team,,12/01/2021 17:03
Douglas Beck,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Not an opportunity,12/01/2021 17:03
John Dellinger,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Georgia Rudolph,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Team,,12/01/2021 17:03
Marcos Rozzi,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,Opportunity,12/01/2021 17:03
Tameka Morrow,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Jason Olivo,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Not a lead,Not an opportunity,12/01/2021 17:03
Leroy Hall,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Confirmed Meeting Attendee,12/01/2021 17:03
Marvin Brooks,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Edna Willis,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Henrietta Sanders,Lead Pipeline Update,Status: Qualified - Nurturing: Engaged;2021-01-12T17:02:50.000Z,Lead,Opportunity,12/01/2021 17:03
Linda Maas,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Thomas Scandurra,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Team,,12/01/2021 17:03
Ruby Doe,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Lanny Virgil,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Thomas Nathaniel,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,Not a lead,Not an opportunity,12/01/2021 17:03
Clementine Mei,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Contributing  Member,,12/01/2021 17:03
Shannon Dingee,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2021-01-12T17:02:50.000Z,Paying Member,Opportunity,12/01/2021 17:03
Matthew Mitchell,Lead Pipeline Update,Status: Disqualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Susan Snider,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Team,,12/01/2021 17:03
Laura Cobb,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,Opportunity,12/01/2021 17:03
Tina Pinkerton,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Robert Murphy,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,,12/01/2021 17:03
Dawn Granthan,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Gabriele Legere,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Reid Canada,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Not an opportunity,12/01/2021 17:03
Chester Smith,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Dustin Bowser,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
James Bohannon,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,Attended Meeting,12/01/2021 17:03
Judith Mcclendon,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Attended Meeting,12/01/2021 17:03
Sharon Surbaugh,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Paying Member,,12/01/2021 17:03
Randy May,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Not an opportunity,12/01/2021 17:03
Tamara Zavala,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
Ramon Crow,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,Confirmed Meeting Attendee,12/01/2021 17:03
John Leno,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2021-01-12T17:02:50.000Z,Paying Member,Opportunity,12/01/2021 17:03
Harry Brown,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,Lead,,12/01/2021 17:03
Ronald Powers,Lead Pipeline Update,Status: Customer  - Nurturing: ;2021-01-12T17:02:50.000Z,Team,Attended Meeting,12/01/2021 17:03
Douglas Barber,Lead Pipeline Update,"Status: Qualified - Nurturing: Engaged, Opportunity;2021-01-12T17:02:50.000Z",Lead,Attended Meeting,12/01/2021 17:03
Efren Presson,Lead Pipeline Update,Status: Qualified - Nurturing: ;2021-01-12T17:02:50.000Z,,Not an opportunity,12/01/2021 17:03
